,secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID,partyShortName
157,510050.XSHG,510050,华夏上证50ETF,2015-08-24,2.063,2015-08-25,2.787,CNY,2.9524,-0.212,-9.3187,-9.316,26812,华夏基金
158,510050.XSHG,510050,华夏上证50ETF,2015-08-25,1.921,2015-08-26,2.619,CNY,2.7491,-0.142,-6.8832,-6.886,26812,华夏基金
159,510050.XSHG,510050,华夏上证50ETF,2015-08-26,1.949,2015-08-27,2.652,CNY,2.7892,0.028,1.4576,1.4586,26812,华夏基金
160,510050.XSHG,510050,华夏上证50ETF,2015-08-27,2.099,2015-08-28,2.829,CNY,3.0039,0.15,7.6963,7.6975,26812,华夏基金
161,510050.XSHG,510050,华夏上证50ETF,2015-08-28,2.163,2015-08-29,2.905,CNY,3.0955,0.064,3.0491,3.0493,26812,华夏基金
162,510050.XSHG,510050,华夏上证50ETF,2015-08-31,2.213,2015-09-01,2.964,CNY,3.167,0.05,2.3116,2.3098,26812,华夏基金
163,510050.XSHG,510050,华夏上证50ETF,2015-09-01,2.232,2015-09-02,2.987,CNY,3.1942,0.019,0.8586,0.8588,26812,华夏基金
164,510050.XSHG,510050,华夏上证50ETF,2015-09-02,2.246,2015-09-03,3.003,CNY,3.2142,0.014,0.6272,0.6261,26812,华夏基金
165,510050.XSHG,510050,华夏上证50ETF,2015-09-07,2.137,2015-09-08,2.874,CNY,3.0583,-0.109,-4.8531,-4.8504,26812,华夏基金
166,510050.XSHG,510050,华夏上证50ETF,2015-09-08,2.183,2015-09-09,2.929,CNY,3.1241,0.046,2.1526,2.1515,26812,华夏基金
167,510050.XSHG,510050,华夏上证50ETF,2015-09-09,2.214,2015-09-10,2.966,CNY,3.1685,0.031,1.4201,1.4212,26812,华夏基金
168,510050.XSHG,510050,华夏上证50ETF,2015-09-10,2.212,2015-09-11,2.963,CNY,3.1656,-0.002,-0.0903,-0.0916,26812,华夏基金
169,510050.XSHG,510050,华夏上证50ETF,2015-09-11,2.199,2015-09-12,2.948,CNY,3.147,-0.013,-0.5877,-0.5876,26812,华夏基金
170,510050.XSHG,510050,华夏上证50ETF,2015-09-14,2.231,2015-09-15,2.986,CNY,3.1928,0.032,1.4552,1.4553,26812,华夏基金
171,510050.XSHG,510050,华夏上证50ETF,2015-09-15,2.179,2015-09-16,2.924,CNY,3.1184,-0.052,-2.3308,-2.3303,26812,华夏基金
